tenure_bin,n_obs,mean_tenure,median_tenure,mean_opt,median_opt,tenure_metric,opt_metric
3,47611,4.3889263330910655,4.375058625544955,0.3342249819240431,0.0,avg_tenure_years_annual_pre_level,any_opt_hire_count_annual_pre_level
4,47611,6.307040166178139,6.261164973582989,0.2558273299819371,0.0,avg_tenure_years_annual_pre_level,any_opt_hire_count_annual_pre_level
5,47612,10.865773172129026,9.658145958730271,0.12977474797971733,0.0,avg_tenure_years_annual_pre_level,any_opt_hire_count_annual_pre_level
1,47080,1.6811093666227024,1.8196435528879058,0.22127787716625866,0.0,avg_tenure_new_hires_annual_pre_level,any_opt_hire_count_annual_pre_level
2,47079,2.9889256786680383,3.000436752387471,0.29597814224877245,0.0,avg_tenure_new_hires_annual_pre_level,any_opt_hire_count_annual_pre_level
3,47079,3.8139073542072635,3.8147387634040615,0.3292994028847594,0.0,avg_tenure_new_hires_annual_pre_level,any_opt_hire_count_annual_pre_level
4,47079,4.654523725228094,4.641451408585474,0.31514852176293584,0.0,avg_tenure_new_hires_annual_pre_level,any_opt_hire_count_annual_pre_level
5,47079,6.597297072853485,6.040481079495453,0.2422528632064731,0.0,avg_tenure_new_hires_annual_pre_level,any_opt_hire_count_annual_pre_level
1,47104,0.370947904371892,0.39692102702644827,0.21947063948327108,0.0,avg_tenure_new_positions_annual_pre_level,any_opt_hire_count_annual_pre_level
2,47103,0.48140568628990577,0.4828329484462472,0.32330094403210763,0.0,avg_tenure_new_positions_annual_pre_level,any_opt_hire_count_annual_pre_level
3,47103,0.5236882531179501,0.5239456310058267,0.3225059824719082,0.0,avg_tenure_new_positions_annual_pre_level,any_opt_hire_count_annual_pre_level
4,47103,0.56188300067271,0.5606451499675319,0.3141366393786622,0.0,avg_tenure_new_positions_annual_pre_level,any_opt_hire_count_annual_pre_level
5,47104,0.6731318364938934,0.6379192334017797,0.22417911360039416,0.0,avg_tenure_new_positions_annual_pre_level,any_opt_hire_count_annual_pre_level
1,37137,0.37443306428036094,0.4161533196440794,0.2706037674795248,0.0,avg_tenure_recent_grads_annual_pre_level,any_opt_hire_count_annual_pre_level
2,37136,0.5299389791527502,0.5319190582024257,0.38780152987660527,0.0,avg_tenure_recent_grads_annual_pre_level,any_opt_hire_count_annual_pre_level
3,37137,0.5935969137703191,0.5902610681415152,0.3635285332918421,0.0,avg_tenure_recent_grads_annual_pre_level,any_opt_hire_count_annual_pre_level
4,37136,0.6617580672724387,0.6639288158795346,0.33076154339281766,0.0,avg_tenure_recent_grads_annual_pre_level,any_opt_hire_count_annual_pre_level
5,37137,0.8367153488765073,0.8061259411362081,0.16180672764807186,0.0,avg_tenure_recent_grads_annual_pre_level,any_opt_hire_count_annual_pre_level
1,47080,1.4720485721343401,1.5224429886031527,0.11575810440076165,0.0,avg_tenure_years_annual_pre_level,masters_opt_hire_rate_annual_pre_level
2,47079,2.848055544206443,2.8382127640444024,0.07742537407041558,0.0,avg_tenure_years_annual_pre_level,masters_opt_hire_rate_annual_pre_level
3,47079,4.354477596727523,4.339019993664274,0.039747611536316056,0.0,avg_tenure_years_annual_pre_level,masters_opt_hire_rate_annual_pre_level
4,47079,6.243052699297854,6.1992687037071805,0.028726712769928817,0.0,avg_tenure_years_annual_pre_level,masters_opt_hire_rate_annual_pre_level
5,47079,10.53608179575958,9.486932025418627,0.042028949937328856,0.0,avg_tenure_years_annual_pre_level,masters_opt_hire_rate_annual_pre_level
1,47080,1.4720485721343401,1.5224429886031527,0.11575810440076165,0.0,avg_tenure_years_annual_pre_level,masters_opt_hire_rate_annual_pre_level
2,47079,2.848055544206443,2.8382127640444024,0.07742537407041558,0.0,avg_tenure_years_annual_pre_level,masters_opt_hire_rate_annual_pre_level
3,47079,4.354477596727523,4.339019993664274,0.039747611536316056,0.0,avg_tenure_years_annual_pre_level,masters_opt_hire_rate_annual_pre_level
4,47079,6.243052699297854,6.1992687037071805,0.028726712769928817,0.0,avg_tenure_years_annual_pre_level,masters_opt_hire_rate_annual_pre_level
5,47079,10.53608179575958,9.486932025418627,0.042028949937328856,0.0,avg_tenure_years_annual_pre_level,masters_opt_hire_rate_annual_pre_level
1,47080,1.6811093666227024,1.8196435528879058,0.08579225923259735,0.0,avg_tenure_new_hires_annual_pre_level,masters_opt_hire_rate_annual_pre_level
2,47079,2.9889256786680383,3.000436752387471,0.04952716153300106,0.0,avg_tenure_new_hires_annual_pre_level,masters_opt_hire_rate_annual_pre_level
3,47079,3.8139073542072635,3.8147387634040615,0.042495114029418385,0.0,avg_tenure_new_hires_annual_pre_level,masters_opt_hire_rate_annual_pre_level
4,47079,4.654523725228094,4.641451408585474,0.050235170803059656,0.0,avg_tenure_new_hires_annual_pre_level,masters_opt_hire_rate_annual_pre_level
5,47079,6.597297072853485,6.040481079495453,0.07563768361798438,0.0,avg_tenure_new_hires_annual_pre_level,masters_opt_hire_rate_annual_pre_level
1,47080,0.3710675441917728,0.39698836413415467,0.08449895353134765,0.0,avg_tenure_new_positions_annual_pre_level,masters_opt_hire_rate_annual_pre_level
2,47079,0.48141543450404417,0.48284539439570234,0.05120231991888997,0.0,avg_tenure_new_positions_annual_pre_level,masters_opt_hire_rate_annual_pre_level
3,47079,0.5236787875718403,0.5239358234738112,0.03231296541942703,0.0,avg_tenure_new_positions_annual_pre_level,masters_opt_hire_rate_annual_pre_level
4,47079,0.5618501172042023,0.5606115257723745,0.04967371521302718,0.0,avg_tenure_new_positions_annual_pre_level,masters_opt_hire_rate_annual_pre_level
5,47079,0.6727735948717846,0.6379192334017796,0.085999462604337,0.0,avg_tenure_new_positions_annual_pre_level,masters_opt_hire_rate_annual_pre_level
1,37136,0.37444093528264083,0.4161533196440794,0.07567613347912733,0.0,avg_tenure_recent_grads_annual_pre_level,masters_opt_hire_rate_annual_pre_level
2,37136,0.5299389791527502,0.5319190582024257,0.039174085088520036,0.0,avg_tenure_recent_grads_annual_pre_level,masters_opt_hire_rate_annual_pre_level
3,37135,0.5935952823802909,0.5902603493294801,0.02777454694555892,0.0,avg_tenure_recent_grads_annual_pre_level,masters_opt_hire_rate_annual_pre_level
4,37136,0.6617535516175294,0.6639288158795346,0.0322367351616007,0.0,avg_tenure_recent_grads_annual_pre_level,masters_opt_hire_rate_annual_pre_level
5,37136,0.8366954881253837,0.8061202372804015,0.04383443488946636,0.0,avg_tenure_recent_grads_annual_pre_level,masters_opt_hire_rate_annual_pre_level
